date,name,favorite,breakfast,prepare,body,happy,,,,
9-27-2014_17:46:55,wendy,art class,toast with peamut butter,toast it,my brain,had two cocktails,,,,
9-27-2014_17:49:0,Jen Tang,Eating McDonalds,Yogurt,Honey and granola,Beyonce curves,Dance like no one's watching,,,,
9-27-2014_17:50:40,ivy ,sister spinning me around,noodles,my mom prepares it for me,collarbone,drink,,,,
9-27-2014_17:52:23,vivian,stickers,nothing,i dont,legs,clubbing,,,,
9-27-2014_17:54:13,Tiffany,my barbies,cereal,I pour milk and then my cereal,abs,partied with friends,,,,
9-27-2014_17:57:3,ella,watching netflix,pancakes,i dont,butt,netflix,,,,
9-27-2014_17:58:53,browne,dancing,yogurt,put in a cup,eyes,dance,,,,
9-27-2014_18:0:49,laura,showers,fruit,chop and blend,my heart,cudd,,,,
9-27-2014_18:2:37,anika,drawing,cereal,put it in a bowl,my smile,dance,,,,
9-27-2014_18:4:43,danielle,playing games with my sisters,a bagel and cream cheese,toast it and put on the spread,my legs,danced in the rain,,,,
9-27-2014_18:8:13,Eric , mr deer,playing video games,hanging with friends,the usual. ,,If the power of awesomeness,............my ass,last week,making and designing video games
9-27-2014_18:10:25,roberta,spending time with grammy,rice milk and coffe,with love,hair,jacuzzi with friends,,,,
9-27-2014_18:12:28,giulia,my mum,a coffee with soy milk,i buy it,my smile,walk in the city,,,,
9-27-2014_18:15:11,maria,pretending i was a superhero,pop tarts and sugar puffs,fresh from the box,definately not my toes,painting on the beach,,,,
9-27-2014_18:18:35,maria,pretending i was a superhero,pop tarts and sugar puffs,fresh from the box,definately not my toes,painted at the beach,,,,
9-27-2014_18:21:32,Headmaster Savera,Being a wizard,the heads of little children,in little bite size pieces,my hips dont lie,GOT DRUNK!!!,,,,
9-27-2014_18:23:19,Beckie,reading fairtytales,it varies,I don't,my tummy,laugh,,,,
9-27-2014_18:25:0,Isaiah,Playing my nintendo 64,Nothing,by sleeping in,all my muscles,SLEPTTTT,,,,
9-27-2014_18:26:54,caspar,legos,an omlette,in a pan,my nose,clapped my hands,,,,
9-27-2014_18:28:47,izzy,soccer,waffles,in an iron,my eyes,fell on the floor,,,,
9-27-2014_18:30:49,Mariana Lima,Candy,cereal,in a bowl,my brain,I smiled,,,,
9-27-2014_18:33:5,jay,the beach,eggs,fried,my man thighs,ate smac,,,,
9-27-2014_18:34:58,dalia,playing with my twin sister,fruit,in a bowl,my eyes,laugh and cry,,,,
9-27-2014_18:36:37,silas,toys,cereal,in a bowl,shoulders,dance,,,,
9-27-2014_18:39:17,clarice lima,food!,EVERYTHING,i go to my favorite store shop rite,my knee,ate doritos,,,,
9-27-2014_18:41:8,Carolina,Cheetoes,cheetoes,I open the bag,shoulders,Ate cheetoes,,,,
9-27-2014_18:44:15,Rene,Video Games and Baseball,A spinach ommlete with grilled chicken,By cooking it,I dont care as long as Im healthy,I dont remember Im always a happy kid,,,,
9-27-2014_18:46:48,charles,racing cars,milk cheeze,dad hands to me,arms,throwing stones,,,,
9-27-2014_18:49:33,#labyhunt,chess and soccer!,waffles ,i cook it in a waffle iron,My whiskers,idk every time i am happy,,,,
9-27-2014_18:52:49,Holly,Filmmaking,Toast,I don't - Daddy does,My freckles,I acted in a film,,,,
9-27-2014_18:56:50,shyhiem,i am astii,TOAST,MY  MOM DOES,HEART,PLAY GAMES,,,,
9-27-2014_18:59:9,kathy,drawing,milk eggs,mom daddy,face,craft,,,,
9-27-2014_19:1:25,,picture books,granparent's house,toaster,legs,dance,,,,
9-27-2014_19:3:35,sylvia,swing,bagel and coffee,i don't,my hair,have sex,,,,
9-27-2014_19:5:42,DYLAN,TOY CARS,ORANGE JUICE,POUR IT,MY BRAIN,BEING AWESOME,,,,
9-27-2014_19:7:46,LLEFRI,PLAYING HIDE AND SEEK,I DONT EAT BREAKFAST,I TOLD YOU,I DONT EAT BREAKFAST,MY ASS,LISTEN TO MUSIC,I GUESS,,
9-27-2014_19:9:40,JAZMIN,PLAYING DOLLS ,CEREAL,MILK AND A BOWL,EYES,SPENT MY TIME WITH FRIENDS,,,,
9-27-2014_19:12:26,DANNAE,TAG,I DON,I DONT PREPARE,HANDS,DOLLS,,,,
9-27-2014_19:16:8,THAIS,DOLLS,PANCAKES,MY AUNTS MAKES IT,EYES,ON A BOAT,,,,
9-27-2014_19:17:51,mariela,dolls,coffee,i buy it,hair,i laugh,,,,
9-27-2014_19:21:19,ariyanna,dancing,cereal,with milk,my head,come here,,,,
9-27-2014_19:26:24,senia,gymnastics,pankaces,i dont know,my brain so i can think,dance,,,,
